AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
castroville police department,TX,NA,NA,920095,1003627,912599
hondo police department,TX,NA,NA,NA,NA,2175515
midland police department,TX,23300000,26085837,NA,NA,27535000
cameron police department,TX,NA,1250000,NA,NA,996707
rockdale police department,TX,NA,1198040,1336938,1405581,1349000
nocona police department,TX,NA,NA,NA,NA,NA
conroe police department,TX,NA,17995734,20231130,22573259,21957000
shenandoah police department,TX,NA,NA,NA,NA,3466627
montgomery police department,TX,NA,NA,1479655,1673396,NA
dumas police department,TX,NA,NA,2700000,2900000,NA
corsicana police department,TX,NA,4882323,5421012,5525725,5688311
roscoe police department,TX,NA,NA,173803,173803,NA
corpus christi police department,TX,64053864,69413260,80933540,70996855,73300000
port aransas police department,TX,NA,NA,3400000,4095800,NA
springtown police department,TX,950000,NA,1100000,1200000,NA
willow park police department,TX,NA,1032727,1240413,1377352,1600273
onalaska police department,TX,NA,NA,574836,574153,NA
amarillo police department,TX,3.6e+07,40474320,43953657,44744404,48813000
clarksville police department,TX,NA,259573,NA,NA,483322
hearne police department,TX,NA,NA,672378,692550,NA
ballinger police department,TX,NA,NA,782715,863781,1015181
ingleside police department,TX,NA,NA,NA,NA,NA
mathis police department,TX,NA,NA,NA,NA,1025587
snyder police department,TX,NA,NA,2096485,2105675,NA
stratford police department,TX,NA,NA,NA,NA,NA
tyler police department,TX,22993516,26447389,28605011,28837805,29730000
whitehouse police department,TX,NA,NA,1168064,1281791,1526078
la grulla police department,TX,NA,NA,5e+05,5e+05,NA
arlington police department,TX,82668931,96107109,112956223,117847632,118800000
dalworthington gardens police department,TX,NA,NA,NA,NA,1974556
everman police department,TX,NA,NA,NA,NA,1636737
forest hill police department,TX,NA,NA,NA,NA,NA
fort worth police department,TX,248684618,313232204,NA,NA,282500000
lakeside police department,TX,NA,NA,911189,943509,943509
north richland hills police department,TX,16321653,18016411,21964888,22129995,21120000
sansom park police department,TX,NA,850000,1e+06,1100000,NA
abilene police department,TX,22986870,27235490,30362070,31465700,30643000
san angelo police department,TX,15212660,17500000,22285766,22477654,21728000
austin police department,TX,301024790,390980034,434475745,292947716,443100000
del rio police department,TX,NA,NA,5648000,3768000,6843800
grand saline police department,TX,NA,461943,581726,623158,NA
victoria police department,TX,12223622,NA,14184367,14173319,NA
huntsville police department,TX,NA,NA,NA,NA,8220000
hempstead police department,TX,NA,NA,1850448,1999862,NA
laredo police department,TX,55485089,64016173,NA,NA,77800000
el campo police department,TX,NA,NA,3436570,3623577,5880000
wichita falls police department,TX,20887776,22544026,27084229,26822636,27070000
raymondville police department,TX,NA,NA,1200000,1200000,1741920
round rock police department,TX,25697686,28389499,32004180,33297313,28720000
taylor police department,TX,NA,NA,3912922,4005311,NA
cedar park police department,TX,NA,NA,16773471,17471942,16648000
jarrell police department,TX,NA,NA,5e+05,5e+05,NA
la vernia police department,TX,NA,NA,NA,NA,277900
wink police department,TX,NA,NA,1e+05,105000,NA
quitman police department,TX,NA,NA,479000,515659,523820
graham police department,TX,NA,NA,2225500,2028750,1994513
olney police department,TX,473377,NA,676615,695656,863205
dallas police department,TX,417761422,459406791,486752691,509140287,565900000
houston police department,TX,620488531,806991579,945431647,965146748,984400000
san antonio police department,TX,372622521,425037118,483591991,496714285,501300000
smithfield police department,UT,NA,NA,1137660,1211290,1051000
farmington city police department,UT,NA,NA,2541584,2692410,2318000
woods cross police department,UT,NA,NA,NA,NA,1762000
cedar city police department,UT,NA,NA,5214072,5864221,4558000
salt lake city police department,UT,55383094,61398082,82235729,79097332,80751000
sandy city police department,UT,13045083,13622358,1.5e+07,16100000,30014000
west jordan city police department,UT,14500000,17667236,NA,NA,16595000
west valley city police department,UT,20785418,24640000,NA,NA,28707000
blanding police department,UT,NA,NA,737852,783738,513000
richfield city police department,UT,NA,NA,1724725,1774353,1647000
kamas city police department,UT,NA,NA,NA,NA,NA
tooele city police department,UT,3660154,NA,5419556,5851213,3855000
stockton police department,UT,NA,NA,131337,102954,NA
pleasant grove police department,UT,NA,NA,3781247,4036890,4083000
provo city police department,UT,14804638,16743814,18200000,18500000,17235000
lone peak public safety district police,UT,NA,NA,3475831,3524308,NA
st. george police department,UT,NA,15500000,NA,NA,15134000
ogden city police department,UT,1.8e+07,NA,20075075,19559375,17321000
south ogden city police department,UT,NA,NA,NA,NA,3393000
bedford police department,VA,NA,NA,2278188,2335767,2206000
pearisburg police department,VA,NA,607222,646738,667125,NA
pembroke police department,VA,NA,NA,2e+05,210000,NA
narrows police department,VA,NA,NA,445800,451612,NA
ashland police department,VA,NA,NA,2948888,2928407,NA
windsor police department,VA,NA,NA,557760,621626,654357
kilmarnock police department,VA,NA,NA,363983,4e+05,538000
town of orange police department,VA,NA,NA,NA,NA,1636000
chatham police department,VA,NA,NA,304650,304650,NA
hurt police department,VA,90000,NA,182810,189651,183000
haymarket police department,VA,NA,NA,868000,805000,NA
dumfries police department,VA,1261997,1279725,1263918,1388647,2173000
occoquan police department,VA,NA,NA,219427,249989,NA
lexington police department,VA,NA,NA,1922740,1805292,1783000
grottoes police department,VA,NA,NA,608826,608826,NA
weber city police department,VA,NA,516020,275000,275000,278000
big stone gap police department,VA,NA,NA,NA,NA,NA
saint paul police department,VA,NA,NA,NA,NA,NA
wise police department,VA,NA,1003100,1260825,1282535,1186000
alexandria police department,VA,53400000,60854883,67793778,68864175,92909000
charlottesville police department,VA,NA,14600000,17357796,17357797,17028000
chesapeake police department,VA,NA,51416242,51985768,52326523,54500000
covington police department,VA,NA,NA,2292102,2371497,2333000
danville police department,VA,8600000,15027910,9934080,10617870,15779000
hampton police department,VA,21983379,22412393,24966880,25509198,28341000
harrisonburg police department,VA,NA,NA,12846615,12921328,12514000
hopewell police department,VA,5770579,NA,7691792,7915967,8490000
lynchburg police department,VA,15041691,15961431,17112968,17973292,22789000
newport news police department,VA,40445435,46556130,50649407,52777417,70461000
norfolk police department,VA,65619393,66925481,75717773,77618592,79700000
portsmouth police department,VA,36791598,31680427,33888321,32814704,28434000
radford city police department,VA,3507371,NA,4638556,4678923,4446000
richmond police department,VA,88707820,84859553,NA,NA,95800000
roanoke city police department,VA,21646325,25962696,22470382,22766026,21468000
staunton police department,VA,NA,4794939,5284566,5283625,6022000
suffolk police department,VA,21578952,21824801,28050816,28528707,26940000
virginia beach police department,VA,92000136,99041994,102960533,106129479,107700000
bristol police department,VT,343729,NA,468769,452370,NA
hinesburg police department,VT,NA,NA,NA,NA,NA
morristown police department,VT,NA,NA,1250000,1300000,1288000
bradford police department,VT,NA,NA,NA,NA,NA
newport police department,VT,NA,NA,1169307,1771130,1748000
rutland town police department,VT,NA,NA,425186,435204,NA
barre city police department,VT,NA,NA,2028000,2300000,3419000
brattleboro police department,VT,NA,NA,2775000,2860255,2643000
wilmington police department,VT,NA,NA,496677,549827,467000
weathersfield police department,VT,NA,225000,300330,326519,NA
asotin police department,WA,NA,NA,155996,166400,NA
kennewick police department,WA,16400000,NA,2.2e+07,2.2e+07,21591000
port angeles police department,WA,NA,NA,NA,NA,6220000
forks police department,WA,NA,800500,789000,789000,NA
camas police department,WA,NA,NA,NA,NA,5708000
vancouver police department,WA,32065340,43946277,56257242,56459827,56529000
washougal police department,WA,NA,3175885,4188115,4273644,2989000
pasco police department,WA,11700000,NA,18972172,19436404,16772000
quincy police department,WA,2833000,2686999,3700000,3800000,NA
mattawa police department,WA,NA,NA,650000,1010000,NA
royal city police department,WA,NA,NA,436110,464360,NA
aberdeen police department,WA,NA,NA,6799803,6857914,NA
montesano police department,WA,NA,NA,1262567,1299009,NA
cosmopolis police department,WA,NA,640000,683000,590000,NA
ocean shores police department,WA,1565611,NA,2149254,2149254,NA
oak harbor police department,WA,NA,NA,NA,NA,NA
langley police department,WA,NA,NA,387317,395945,NA
auburn police department,WA,NA,NA,NA,NA,28600000
bellevue police department,WA,37676000,41524680,49030947,51511284,48210000
kent police department,WA,31729475,34941870,4.8e+07,5.3e+07,37728000
kirkland police department,WA,24139113,25169837,28776477,30942240,27320000
renton police department,WA,NA,NA,41868922,42849585,31673000
clyde hill police department,WA,NA,NA,1674018,1757433,NA
federal way police department,WA,26065884,22823527,33362775,32233825,24483000
morton police department,WA,NA,NA,492700,492761,NA
reardan police department,WA,NA,NA,133000,143000,NA
brewster police department,WA,NA,NA,812678,868831,NA
tonasket police department,WA,NA,NA,NA,NA,NA
south bend police department,WA,NA,NA,6e+05,610000,NA
puyallup police department,WA,NA,NA,18628364,19502959,18167000
tacoma police department,WA,71379260,74598599,NA,NA,95323000
fife police department,WA,NA,6200000,7661612,7637730,6575000
roy police department,WA,NA,NA,280000,295000,NA
steilacoom department of public safety,WA,NA,NA,2606721,2343071,NA
bonney lake police department,WA,NA,NA,6875041,7056959,NA
fircrest police department,WA,NA,NA,1608169,1704592,NA
ruston police department,WA,NA,NA,710700,730000,NA
lakewood police department,WA,18820450,2.3e+07,24075000,25037000,23476000
anacortes police department,WA,NA,NA,6254373,6321498,NA
arlington police department,WA,NA,NA,7454057,8048814,7407000
everett police department,WA,30442687,33372239,NA,NA,37727000
lynnwood police department,WA,NA,NA,21900000,21900000,16272000
marysville police department,WA,13922568,18581092,19992904,20865552,15722000
mountlake terrace police department,WA,NA,NA,5595762,5753829,NA
monroe police department,WA,5941792,NA,7877945,7731037,NA
mukilteo police department,WA,NA,NA,5400000,5400000,NA
spokane police department,WA,52199816,54932187,61831752,66657391,68919000
college place police department,WA,NA,NA,NA,NA,1984000
bellingham police department,WA,22370464,24187743,29145597,30727085,24692000
lynden police department,WA,NA,2544874,3500000,3500000,NA
sumas police department,WA,NA,NA,NA,NA,927000
grandview police department,WA,NA,NA,2500000,2500000,NA
yakima police department,WA,NA,27202038,30231349,30546304,26292000
chehalis police department,WA,NA,NA,3305621,3337741,NA
seattle police department,WA,263085780,322432745,398561697,399271638,355900000
chetek police department,WI,NA,NA,515638,565320,NA
iron river town police department,WI,263637,NA,NA,NA,NA
green bay police department,WI,23980780,24705273,26393441,27408761,NA
hobart-lawrence police department,WI,NA,NA,1288254,1374636,NA
mondovi police department,WI,NA,NA,440000,490000,NA
siren police department,WI,NA,NA,309833,291881,NA
lodi police department,WI,NA,569000,690719,824124,NA
prairie du chien police department,WI,NA,NA,1279201,1304916,NA
madison police department,WI,NA,67512205,81558996,88191541,8.8e+07
mount horeb police department,WI,NA,NA,1687457,1853894,NA
cross plains police department,WI,NA,NA,646000,680350,NA
marshall police department,WI,NA,NA,918000,948000,NA
deforest police department,WI,NA,NA,2500000,2700000,NA
the city of fox lake police department,WI,NA,190000,28062800,302155,NA
theresa police department,WI,NA,NA,195397,199433,NA
menomonie police department,WI,NA,NA,2726826,2711540,NA
eau claire police department,WI,NA,NA,18792675,19040300,NA
altoona police department,WI,NA,NA,1928970,2101430,NA
crandon police department,WI,NA,NA,379491,358559,NA
princeton police department,WI,295000,NA,NA,NA,NA
mineral point police department,WI,NA,440000,450000,462000,NA
fort atkinson police department,WI,2405900,2416725,2673074,2703060,NA
lake mills police department,WI,NA,NA,1212000,1227600,NA
elroy police department,WI,NA,NA,279000,285100,NA
mauston police department,WI,NA,NA,NA,NA,NA
new lisbon police department,WI,NA,380000,446375,459559,NA
kenosha police department,WI,26920812,NA,30490881,30610391,NA
bangor police department,WI,250000,NA,3e+05,310000,NA
campbell town police department,WI,5e+05,NA,562480,524748,NA
holmen police department,WI,NA,1490788,NA,NA,NA
greenfield police department,WI,8224349,NA,9855414,10322664,NA
