AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
taunton police department,taunton,MA,NA,512566,6e+05,608480,18183000,https://policescorecard.org/
taylor county sheriff's office,abilene,TX,NA,NA,NA,NA,8673178,https://www.taylorcounty.texas.gov/Archive/ViewFile/Item/830
taylor mill police department,taylor mill,KY,NA,NA,NA,NA,1024000,https://policescorecard.org/
taylor police department,taylor,MI,NA,NA,4579446,4520934,10355000,https://policescorecard.org/
taylor police department,taylor,TX,NA,NA,1216604,1348836,,
teague police department,teague,TX,NA,NA,489594,503473,,
tekamah police department,tekamah,NE,NA,NA,1e+06,1e+06,,
tell city police department,tell,IN,NA,NA,2.4e+07,2.5e+07,1350000,https://policescorecard.org/
tempe police department,tempe,AZ,NA,NA,19923230,20095151,109775000,https://policescorecard.org/
temple police department,temple,TX,19500000,1.9e+07,20866863,22480843,17953000,https://policescorecard.org/
tennille police department,tennille,GA,1.5e+07,NA,NA,NA,,
terre haute police department,terre haute,IN,NA,NA,850000,925000,13042000,https://policescorecard.org/
terrebonne parish sheriff's office,houma,LA,NA,NA,1557996,1557996,38674000,https://policescorecard.org/
terrell county sheriff's office,sanderson,TX,NA,NA,3428000,3457000,,
terrell police department,terrell,TX,NA,NA,1620526,1623367,,
teton county sheriff's office,driggs,ID,860000,NA,841999,1102457,1060000,https://policescorecard.org/
tewksbury township police,califon,NJ,NA,NA,NA,NA,,
texline city marshal's office,texline,TX,NA,NA,19626369,19876188,,
thatcher police department,thatcher,AZ,NA,NA,850000,850000,,
thayer police department,thayer,MO,NA,NA,3750000,3800000,,
the city of fox lake police department,fox lake,WI,NA,937551,1027900,606250,,
the colony police department,the colony,TX,NA,NA,5810995,4786671,11689484,https://www.thecolonytx.gov/DocumentCenter/View/6416/City-of-The-Colony-Budget-21-22?bidId=
theresa police department,theresa,WI,8e+05,NA,1414251,1459371,,
thomas county sheriff's office,colby,KS,NA,NA,NA,NA,,
thomas township police department,saginaw,MI,NA,NA,NA,NA,973230,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
thomaston police department,thomaston,CT,NA,NA,1200000,1200000,,
thomasville police department,thomasville,NC,NA,NA,7558324,8293962,6908000,https://policescorecard.org/
thornton police department,thornton,CO,NA,205000,350000,350000,40871,https://policescorecard.org/
thornton police department,thornton,IL,450000,NA,812384,848398,"1,628,954",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
thornville police department,thornville,OH,NA,NA,3082813,3111658,,
three oaks police department,three oaks,MI,NA,NA,3470900,3705000,227000,https://policescorecard.org/
thurston county sheriff's office,olympia,WA,NA,NA,650000,7e+05,22196000,https://policescorecard.org/
tift county sheriff's department,tifton,GA,NA,789286,NA,NA,,
tillamook police department,tillamook,OR,NA,NA,2e+06,2100000,"1,713,647",https://www.tillamookor.gov/media/566
tillman county sheriff's office,frederick,OK,NA,NA,NA,NA,,
tinicum township police department,pipersville,PA,NA,NA,NA,NA,3699746,https://dced.pa.gov/local-government/municipal-statistics/
tippah county sheriff's department,ripley,MS,NA,NA,269950,282000,1317000,https://policescorecard.org/
tipton police department,tipton,IA,NA,NA,NA,NA,660000,https://policescorecard.org/
tipton police department,tipton,IN,NA,NA,NA,NA,1029000,https://policescorecard.org/
tishomingo police department,tishomingo,MS,NA,NA,730417,736370,,
todd county sheriff's office,long prairie,MN,14300000,15645831,16786749,17256514,3290000,https://policescorecard.org/
toledo police department,toledo,IA,NA,NA,477540,484250,,
toledo police department,toledo,OH,NA,NA,NA,NA,,
toms river police,toms river,NJ,NA,NA,175000,183186,25772000,https://policescorecard.org/
tonasket police department,tonasket,WA,NA,NA,670000,680000,,
tonawanda city police department,tonawanda,NY,NA,NA,2300000,2500000,"3,746,914",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
tonawanda town police department,kenmore,NY,279000,NA,NA,NA,"15,446,344",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
tonica police department,tonica,IL,NA,NA,507058,574565,"42,745",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
tooele city police department,tooele,UT,NA,6012494,2805884,2901697,3855000,https://policescorecard.org/
tooele county sheriff's office,tooele,UT,1.8e+07,20916056,NA,NA,2381000,https://policescorecard.org/
toombs county sheriff's office,lyons,GA,NA,NA,2100000,2200000,,
topeka police department,topeka,KS,NA,NA,450000,5e+05,,
toronto police department,toronto,OH,NA,21164008,25952428,25868165,1731000,https://policescorecard.org/
torrance county sheriff's office,estancia,NM,NA,NA,5e+06,5800000,1692000,https://policescorecard.org/
torrance police department,torrance,CA,10778600,24825525,NA,NA,263195288,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
town of clarkstown police department,new,NY,2.6e+07,35605518,NA,NA,"39,885,194",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
town of orange police department,orange,VA,NA,20432817,31749305,34901840,1636000,https://policescorecard.org/
town of windham police department,hensonville,NY,NA,16993354,20545047,21224508,"267,949",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
town ticonderoga police department,ticonderoga,NY,8187010,NA,14529603,15107734,664834,https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
towner county sheriff's office,cando,ND,NA,NA,5e+06,5500000,749000,https://policescorecard.org/
township of cranbury police department,cranbury,NJ,NA,NA,8756593,9003284,,
tracy police department,tracy,MN,40151049,49064677,NA,NA,,
traill county sheriff's office,hillsboro,ND,1.4e+07,NA,17778548,17989060,1351000,https://policescorecard.org/
trainer borough police department,trainer borough,PA,4736347,33358538,3.9e+07,4e+07,1162414,https://dced.pa.gov/local-government/municipal-statistics/
travis county sheriff's office,austin,TX,NA,NA,NA,NA,93524000,https://policescorecard.org/
tremont borough police department,tremont borough,PA,41816466,45585496,59469255,60601981,7378,https://dced.pa.gov/local-government/municipal-statistics/
trempealeau county sheriff's office,whitehall,WI,NA,NA,NA,NA,,
trenton police,trenton,NJ,NA,NA,NA,NA,,
trenton police department,trenton,MI,5.7e+07,63614731,67929679,63856329,4695000,https://policescorecard.org/
trimble county sheriff's office,bedford,KY,16561707,17866493,12016312,12425838,308000,https://policescorecard.org/
trimble police department,trimble,TN,17885205,18452558,NA,NA,,
trinity county sheriff's office,weaverville,CA,19938365,NA,NA,NA,4547263,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
tripoli police department,tripoli,IA,5261486,NA,7650000,8e+06,,
troy city police department,troy,NY,NA,NA,NA,NA,"15,309,987",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
troy police department,troy,MI,NA,NA,15665598,16465077,27005000,https://policescorecard.org/
truth or consequences police department,truth or consequences,NM,NA,NA,6522744,7459350,1542000,https://policescorecard.org/
tucson police department,tucson,AZ,3.8e+07,42628892,53598395,57939781,186800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
tuftonboro police department,center tuftonboro,NH,NA,NA,4293996,4828132,,
tulare county sheriff's office,visalia,CA,NA,NA,20252760,20347531,57875794,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
tulare police department,tulare,CA,NA,NA,12983803,12687182,18668542,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
tularosa police department,tularosa,NM,10713051,NA,158858357,158858357,854000,https://policescorecard.org/
tullahoma police department,tullahoma,TN,1.5e+07,17329369,21359091,22564010,3681000,https://policescorecard.org/
tulsa county sheriff's office,tulsa,OK,9114782,16262688,10021656,11455362,122700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
tulsa police department,tulsa,OK,NA,NA,NA,NA,115510000,https://policescorecard.org/
tunica county sheriff's department,tunica,MS,3.2e+07,15853764,NA,NA,6010000,https://policescorecard.org/
tunnel hill police department,tunnel hill,GA,NA,NA,NA,NA,,
tupelo police department,tupelo,MS,NA,NA,NA,NA,19787000,https://policescorecard.org/
turner police department,turner,OR,NA,NA,2933788,2882876,,
tuscaloosa county sheriff's office,tuscaloosa,AL,2.2e+07,2.8e+07,34191115,32851979,17207000,https://policescorecard.org/
tuscaloosa police department,tuscaloosa,AL,NA,NA,NA,NA,33114000,https://policescorecard.org/
tutwiler police department,tutwiler,MS,NA,14907254,NA,NA,,
twin falls police department,twin falls,ID,NA,NA,NA,NA,10732000,https://policescorecard.org/
tyler county sheriff's office,middlebourne,WV,NA,NA,870000,910000,,
tyler police department,tyler,TX,NA,NA,685152,681502,29730000,https://policescorecard.org/
tyngsboro police department,tyngsboro,MA,NA,NA,669141,791135,2778000,https://policescorecard.org/
tyrone police department,tyrone,OK,6338549,NA,15119126,15863217,,
udall police department,udall,KS,NA,NA,20420376,21520400,,
unified police department of greater salt lake,south salt lake,UT,NA,NA,546841,645394,95308000,https://policescorecard.org/
union city police,union,NJ,NA,575975,NA,NA,28626000,https://policescorecard.org/
union city police department,union,CA,NA,NA,347420,378543,"30,023,995",https://www.unioncity.org/DocumentCenter/View/12029/FY-2021-2022-and-2022-2023-Operating-Budget?bidId=
union county sheriff's office,el dorado,AR,NA,463674,NA,NA,,
union county sheriff's office,lake butler,FL,1317000,NA,3500000,4e+06,2250000,https://policescorecard.org/
union county sheriff's office,monroe,NC,NA,NA,75000,90000,70546972,https://www.unioncountync.gov/home/showpublisheddocument/4739/637770770290570000
union parish sheriff's office,farmerville,LA,NA,NA,375000,390000,3609000,https://policescorecard.org/
union point police department,union point,GA,NA,NA,881070,972070,217592,https://georgiadata.org/
union police department,union,IL,NA,NA,NA,NA,"90,623",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
union police department,union,OH,NA,NA,NA,NA,,
union township police,union,NJ,NA,NA,NA,NA,,
union township police department,ringtown,PA,7917590,34207468,8700000,8500000,396040,https://dced.pa.gov/local-government/municipal-statistics/
uniontown city police department,uniontown,PA,59895336,NA,80943518,84194691,2955348,https://dced.pa.gov/local-government/municipal-statistics/
uniontown police department,uniontown,OH,NA,NA,2144195,2151355,,
unionville police department,unionville,MO,18034000,4.7e+07,NA,NA,,
university heights police department,university heights,IA,NA,NA,NA,NA,,
upland borough police department,brookhaven borough,PA,23689782,23083010,32971869,33373248,1456627,https://dced.pa.gov/local-government/municipal-statistics/
upland police department,upland,CA,NA,15600000,NA,NA,27688393,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
upper allen township police department,mechanicsburg,PA,NA,NA,21241000,23205639,4619050,https://dced.pa.gov/local-government/municipal-statistics/
upper darby township police department,upper darby,PA,NA,71439861,73460296,71819198,26128000,https://policescorecard.org/
upper nazareth township police department,nazareth,PA,NA,NA,7443724,7449158,1782579,https://dced.pa.gov/local-government/municipal-statistics/
upper providence township police department,media,PA,NA,16155664,16294410,15817051,3076317,https://dced.pa.gov/local-government/municipal-statistics/
upper uwchlan township police department,chester springs,PA,33640891,4e+07,6e+07,6.5e+07,2031620,https://dced.pa.gov/local-government/municipal-statistics/
upshur county sheriff's department,buckhannon,WV,NA,1.8e+07,20890554,20849373,795000,https://policescorecard.org/
urbana police department,urbana,IA,NA,NA,2038652,2038652,,
urbana police department,urbana,OH,NA,NA,1591558,1628556,,
utah county sheriff's office,provo,UT,12771303,NA,12542800,12207980,15066000,https://policescorecard.org/
utica city police department,utica,NY,NA,NA,NA,NA,"17,426,057",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
vacaville police department,vacaville,CA,1e+06,NA,NA,NA,42393767,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
valdosta police department,valdosta,GA,NA,1091953,NA,NA,17291000,https://georgiadata.org/
valencia county sheriff's office,los lunas,NM,NA,NA,2100000,2395000,,
vallejo police department,vallejo,CA,NA,NA,2e+06,2e+06,50667071,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
valley center police department,valley center,KS,4115000,NA,6579002,6961714,1188000,https://policescorecard.org/
valley county sheriff's office,glasgow,MT,15225750,16140739,17401378,18511853,917000,https://policescorecard.org/
valleyview police department,columbus,OH,NA,NA,3003000,3340500,,
van buren county sheriff's office,keosauqua,IA,NA,NA,4295640,6559100,,
